PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,Humboldt Park,T-108,Humboldt Park,T-108,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",168192,168192,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Montrose Clarendon,T-173,Montrose Clarendon,T-173,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",69000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Garfield Park Conservatory â€“ Indoor Childrenâ€™s Garden,Park District,Parks and Open Spaces,100 North Central Park Av,Midwest,T-095,Midwest,T-095,"The 6,000 sq. ft. new garden and playscape will provide year-round, accessible adventures for young local residents.  A wheel-chair accessible spiral ramp is the central feature of the garden extending from the floor to the the Conservatoryâ€™s glass roof.",1000000,5600000,0.18,11/17/2020,Approved,POINT (-87.71607 41.8832)
Playground Repair Program: Gross (Theodore),Park District,Parks and Open Spaces,2708 West Lawrence Av,Western Av North,T-084,Western Av North,T-084,"Renovation of playground, relace equipment as needed and replace surfaces that are beyond repair.",175000,175000,1,11/05/2019,Approved,POINT (-87.69666 41.96854)
Lake St Bridge - Additional Funding Request - December 2024,CDOT,Public Infrastructure,360-400  West Lake St,LaSalle Central,T-147,LaSalle Central,T-147,"Additional $25 mil funding request for the rehabilitation of the Lake St Bridge over the Chicago River. Project was originally bid earlier this year, however DPS threw out all bids and is rebidding the project. The bid opening is scheduled for 12/11/24. CDOT is requesting additional funds in anticipation of higher bids so as to not delay the project",25000000,25000000,1,12/17/2024,Approved,POINT (-87.63912 41.88572)
Chicago Agriculture HS - BAS,CPS,Schools,3857 West 111th St,111th Kedzie,T-073,111th Kedzie,T-073,"This school has an obsolete and failing Building Automation System (BAS) that controls the environmental mechanical systems In the building.  This project would be to upgrade, repair and re-certify the system from a controls standpoint.",560000,560000,1,07/27/2021,Approved,POINT (-87.71871 41.69048)
Small Business Improvement Fund,DPD,Economic Development,Various,Elston Armstong,T-153,Elston Armstong,T-153,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,500000,500000,1,08/18/2020,Approved,
Riis Park - Additional Funding Request,Park District,Parks and Open Spaces,6100 W Fullerton Av,Diversey Narragansett,T-129,Diversey Narragansett,T-129,"CPD is seeking and additional TIF commitment of $3.5M to complete the
project as presented to the community plus the addition of the replacement turf that was requested through the community planning process.",3500000,13500000,0.26,11/22/2022,Approved,POINT (-87.77859 41.9238)
Johnson ES - MEP Upgrades,CPS,Schools,1420  South Albany Av,Midwest,T-095,Midwest,T-095,"MEP upgrades include replacing boiler plants with high efficiency hot water boiler plants including associated equipment, piping, and electrical infrastructure. Air Handling Units (AHUs), storage tanks, several pumps, and other components will also require replacement/upgrading as part of the project for an efficient mechanical system.",3750000,5000000,0.75,06/25/2024,Approved,POINT (-87.70352 41.86224)
Ogden Living Phase A-2,DOH,Affordable Housing,1312  South Talman Av,Midwest,T-095,Midwest,T-095,"OC Living Phase 2 is the second residential phase of a comprehensive, mixed-use, mixed-income redevelopment North Lawndale consisting of 150,000 SF of commercial and office buildings and ~300 units of mixed income housing.",9000000,37741938,0.24,09/26/2023,Approved,POINT (-87.69211 41.86417)
Spencer Elementary - Building Improvements,CPS,Schools,214 N Lavergne Av,Madison/Austin,T-075,Madison/Austin,T-075,Provide a full roof replacement and targeted masonry repairs.,7000000,7000000,1,10/01/2019,Under Further Review,POINT (-87.75033 41.88503)
Kedzie-Homan Blue Line (Congress) Station,CTA,Transit Facilities,1199 S Homan Ave,Midwest,T-095,Midwest,T-095,"Proposed elements include exterior stationhouse concrete repairs and cladding upgrades; ramp railing replacements; and platform canopy repairs, windbreak replacements and amenity upgrades.",6000000,6000000,1,09/15/2020,Approved,POINT (-87.71053 41.86557)
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,53rd Street,T-105,53rd Street,T-105,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
35th-Bronzeville-IIT Station Elevator Replacement,CTA,Transit Facilities,16 East 35th St,Bronzeville,T-061,Bronzeville,T-061,"This project will replace the elevator at the 35th-Bronzeville-IIT Station. The Station is used by more than 4,000 riders per day on an average weekday.",1500000,1500000,1,06/16/2020,Under Further Review,POINT (-87.62595 41.83102)
Fire Station - Engine Co. 120,AIS,Municipal Facilities,11035 South Homewood Av,Western Rock Island,T-142,Western Rock Island,T-142,Building Renovation -Exterior: Fencing/ Apron Repairs. Interior: Re-build stairs from basement to second floor.,300000,300000,1,07/27/2021,Under Further Review,POINT (-87.66896 41.6931)
United Yards 1B,DPD,Economic Development,4707 South Marshfield Av,47th Ashland,T-117,47th Ashland,T-117,United Yards is the selected project for the Invest SW New City RFP process. The United Yards proposal is a multi-site project which includes city-owned land.,4000000,17415080,0.23,12/20/2022,Approved,POINT (-87.66592 41.80814)
Westside Residential Street Resurfacing,CDOT,Public Infrastructure,,Roosevelt Racine,T-062,Roosevelt Racine,T-062,"Requested funds will pay for the survey, design, construction and construction management of 24 street resurfacing location, one block of sidewalk replacement, and one block of street reconstruction.",135000,4182500,1,03/22/2022,Approved,POINT (-87.63245 41.88425)
SBIF Funding Recommendation,DPD,Economic Development,,Hollywood Sheridan,T-157,Hollywood Sheridan,T-157,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,500000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
Levy Center,AIS,Municipal Facilities,2019 West Lawrence Av,Western Av North,T-084,Western Av North,T-084,Proposed work involves the replacement and installation of heating and cooling systems throughout the building.,1000000,1000000,1,11/05/2019,Approved,POINT (-87.68004 41.96875)
6600 N Western Alley Improvement,CDOT,Public Infrastructure,6600-6698 North Western Av,Touhy/Western,T-146,Touhy/Western,T-146,Construction of concrete alley and ADA compliant alley aprons on the 6600 N block of Western Ave.,400000,400000,1,04/26/2022,Approved,POINT (-87.69051 42.00167)
Streets for Cycling - Illinois Medical District,CDOT,Public Infrastructure,430-1200 South Paulina St,Central West,T-086,Central West,T-086,"Installation of new pedestrian refuge island, buffered bike lanes, neighborhood greenway, and pedestrian safety infrastructure using concrete, pavement markings, flexible delineators, and signage.",225000,225000,1,07/09/2019,Approved,POINT (-87.66914 41.8757)
TIF Works - Funding Request,DPD,Economic Development,Various,Greater SW Ind Corr West,T-092,Greater SW Ind Corr West,T-092,Soft Launch of Training Reimbursement Grant. Initial Focus on 10 TIF districts with industrial corridors and/or heavy manufacturing presence.,250000,250000,1,08/22/2023,Approved,
Mount Greenwood Park - Tennis Court Renovation,Park District,Parks and Open Spaces,3721 West 111th St,111th Kedzie,T-073,111th Kedzie,T-073,Proposed TIF funded investment will enable the Park District to renovate the four existing tennis courts.,75000,75000,1,01/25/2022,Approved,POINT (-87.71399 41.6912)
"Invest South/West Sidewalk, Curb and Gutter Repairs",CDOT,Public Infrastructure,Various,47th Halsted,T-121,47th Halsted,T-121,Repair of damaged sidewalk and curb and gutter in all 12 Invest South West main street corridors.,25000,25000,1,04/07/2020,Approved,
SBIF Ordinances 2024,DPD,Economic Development,,111th Kedzie,T-073,111th Kedzie,T-073,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,1000000,1000000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Auburn Gresham ISW,DOH,Affordable Housing,838 West 79th St,79th Street Corridor,T-056,79th Street Corridor,T-056,"This is a 57 unit project on two sites. City financing will consist of TIF and 4% tax credits/bonds, as well as an additional tbd City source. Development team was selected through ISW RFP process for 79th/Halsted.",2000000,42584822,0.42,05/24/2022,Approved,POINT (-87.64559 41.75061)
Signal Modernization â€“ Oakwood Blvd & Martin Luther King Dr - Additional Funding,CDOT,Public Infrastructure,3946 South Dr Martin Luther King Jr Dr,Bronzeville,T-061,Bronzeville,T-061,"Additional funds are required due to changes in requirements of TSM projects from the time this was initially requested to now (Accessible Pedestrian Signals, upgraded control cabinets) and differing site conditions from initial assessment.",230000,630000,0.37,01/21/2020,Approved,POINT (-87.61717 41.82246)
CPS Feasibility Study (Vacant Land),DPD,"Plans, Studies, and Administration",627 North Harding Av,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,Consulting services needed to assist in developing an RFP to redevelop a vacant CPS owned property. Consultants will: Assist in Determining Scope of Work; Model Development Scenarios. Develop Concepts Renderings; Model Financial Projections.,100000,100000,1,12/15/2020,Under Further Review,POINT (-87.72479 41.89258)
CPS ADA Polling Locations - South Region Part 2,CPS,Schools,,79th Street Corridor,T-056,79th Street Corridor,T-056,Part of an coordinated effort between the City of Chicago and Chicago Board of Education to make polling locations accessible to people with disabilities.,31200,1034879,1,07/27/2021,Under Further Review,POINT (-87.63245 41.88425)
Lawndale Line Development Framework Plan,DPD,Economic Development,,Western Ogden,T-048,Western Ogden,T-048,Complete a development framework plan to guide all decisions being made about property within the Study Area.,50000,500000,0.97,09/15/2020,Approved,POINT (-87.63245 41.88425)
Small Business Improvement Fund,DPD,Economic Development,Various,West Irving Park,T-083,West Irving Park,T-083,Authorization of a 3-year allocation of TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund improvements to their buildings.,1500000,1500000,1,12/03/2019,Approved,
Blue Line Forest Park Branch Phase 1 State of Good Repair Trackwork,CTA,Transit Facilities,1600 - 2000 West I-290,Central West,T-086,Central West,T-086,"Track conditions on the Forest Park Branch have eroded at a rapid pace prompting slow zones to be established, reducing service reliability and customer satisfaction.  Phase 1 program addresses improvements from Ashland to Damen.",21560000,56000000,0.39,11/22/2019,Under Further Review,
Mayfair Branch Library,2FM,Municipal Facilities,4100-4310  West Lawrence Av,Lawrence Pulaski,T-116,Lawrence Pulaski,T-116,The acquisition and design of a new Mayfair Branch Library.,8000000,8000000,1,11/19/2024,On Hold,POINT (-87.73078 41.96821)
Garfield Park - Water Garden and Ballfield Improvement,Park District,Parks and Open Spaces,,Midwest,T-095,Midwest,T-095,Improve the baseball ballfield and the Water Gardens within Garfield Park.,1400000,1400000,1,11/17/2020,Approved,POINT (-87.63245 41.88425)
Loomis Street Bridge Repair,CDOT,Public Infrastructure,2470 South Loomis St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,"Remove and replace jack beams, stringer, sidewalk and bridge deck.
 Previous approval of $4.8M in TIF.",3200000,8000000,0.4,02/11/2020,Approved,POINT (-87.661 41.84672)
Parkside ES Fire Alarm Replacement,CPS,Schools,6938 S East End Avenue,71st Stony Island,T-060,71st Stony Island,T-060,The fire alarm system has exceeded its useful life and replacement parts are no longer made for critical repairs. TIF is requested to reimburse CPS for expenses related to fire alarm system replacement.,230000,230000,1,08/06/2019,Approved,POINT (-87.58284 41.76891)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,119th I57,T-125,119th I57,T-125,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",812000,812000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
Kilbourn Roadway Improvements from Chicago to Ohio,CDOT,Public Infrastructure,600-800 North Kilbourn Av,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,"The project will correct a deficiency on a horizontal curve, add pedestrian facilities, and install general traffic calming elements.",850000,850000,1,04/25/2023,Approved,POINT (-87.73943 41.89224)
